Score	Num
0.342	476
0.343	606
0.344	370
0.345	374
0.346	254
0.347	396
0.348	240
0.349	180
0.350	192
0.351	234
0.352	538
0.353	576
0.354	402
0.355	262
0.356	346
0.357	402
0.358	256
0.359	532
0.360	258
0.361	418
0.362	270
0.363	220
0.364	260
0.365	368
0.366	570
0.367	184
0.368	260
0.369	208
0.370	204
0.371	546
0.372	402
0.373	390
0.374	264
0.375	220
0.376	250
0.377	380
0.378	238
0.379	160
0.380	514
0.381	336
0.382	354
0.383	496
0.384	714
0.385	874
0.386	468
0.387	368
0.388	268
0.389	194
0.390	234
0.391	406
0.392	444
0.393	872
0.394	692
0.395	1386
0.396	604
0.397	640
0.398	616
0.399	280
0.400	288
0.401	514
0.402	518
0.403	778
0.404	626
0.405	184
0.406	236
0.407	386
0.408	266
0.409	216
0.410	190
0.411	196
0.412	152
0.413	224
0.414	422
0.415	670
0.416	544
0.417	222
0.418	160
0.419	190
0.420	192
0.421	246
0.422	218
0.423	814
0.424	138
0.425	278
0.426	244
0.427	192
0.428	136
0.429	168
0.430	532
0.431	346
0.432	132
0.433	148
0.434	284
0.435	658
0.436	352
0.437	364
0.438	240
0.439	318
0.440	432
0.441	932
0.442	408
0.443	204
0.444	154
0.445	248
0.446	446
0.447	260
0.448	182
0.449	142
0.450	224
0.451	640
0.452	352
0.453	370
0.454	266
0.455	194
0.456	208
0.457	366
0.458	318
0.459	220
0.460	218
0.461	208
0.462	244
0.463	226
0.464	202
0.465	636
0.466	864
0.467	912
0.468	644
0.469	558
0.470	240
0.471	188
0.472	358
0.473	276
0.474	284
0.475	294
0.476	338
0.477	292
0.478	488
0.479	182
0.480	380
0.481	528
0.482	394
0.483	402
0.484	338
0.485	226
0.486	804
0.487	242
0.488	204
0.489	702
0.490	420
0.491	306
0.492	214
0.493	160
0.494	148
0.495	432
0.496	152
0.497	436
0.498	196
0.499	438
0.500	146
0.501	316
0.502	238
0.503	142
0.504	402
0.505	232
0.506	528
0.507	350
0.508	816
0.509	144
0.510	144
0.511	110
0.512	158
0.513	412
0.514	492
0.515	508
0.516	494
0.517	292
0.518	218
0.519	178
0.520	158
0.521	376
0.522	132
0.523	142
0.524	90
0.525	316
0.526	210
0.527	126
0.528	372
0.529	148
0.530	134
0.531	118
0.532	108
0.533	154
0.534	302
0.535	224
0.536	160
0.537	174
0.538	146
0.539	150
0.540	216
0.541	286
0.542	190
0.543	564
0.544	346
0.545	344
0.546	408
0.547	718
0.548	404
0.549	338
0.550	534
0.551	258
0.552	136
0.553	142
0.554	162
0.555	116
0.556	224
0.557	464
0.558	496
0.559	566
0.560	184
0.561	280
0.562	570
0.563	206
0.564	302
0.565	232
0.566	178
0.567	190
0.568	186
0.569	182
0.570	176
0.571	182
0.572	232
0.573	264
0.574	290
0.575	328
0.576	212
0.577	190
0.578	230
0.579	506
0.580	530
0.581	170
0.582	182
0.583	298
0.584	218
0.585	204
0.586	480
0.587	166
0.588	678
0.589	158
0.590	152
0.591	360
0.592	644
0.593	224
0.594	126
0.595	148
0.596	190
0.597	232
0.598	346
0.599	300
0.600	194
0.601	128
0.602	150
0.603	462
0.604	156
0.605	330
0.606	270
0.607	210
0.608	372
0.609	398
0.610	722
0.611	482
0.612	854
0.613	228
0.614	306
0.615	428
0.616	586
0.617	334
0.618	494
0.619	346
0.620	638
0.621	250
0.622	426
0.623	340
0.624	358
0.625	560
0.626	210
0.627	280
0.628	458
0.629	410
0.630	286
0.631	270
0.632	688
0.633	422
0.634	1070
0.635	596
0.636	350
0.637	230
0.638	592
0.639	350
0.640	374
0.641	354
0.642	242
0.643	268
0.644	728
0.645	288
0.646	514
0.647	120
0.648	192
0.649	146
0.650	132
0.651	132
0.652	144
0.653	108
0.654	132
0.655	146
0.656	202
0.657	624
0.658	310
0.659	360
0.660	548
0.661	220
0.662	180
0.663	182
0.664	212
0.665	374
0.666	222
0.667	326
0.668	386
0.669	556
0.670	584
0.671	472
0.672	144
0.673	98
0.674	112
0.675	134
0.676	110
0.677	412
0.678	82
0.679	98
0.680	128
0.681	204
0.682	526
0.683	264
0.684	358
0.685	314
0.686	146
0.687	136
0.688	134
0.689	140
0.690	516
0.691	528
0.692	234
0.693	112
0.694	98
0.695	82
0.696	96
0.697	94
0.698	98
0.699	96
0.700	114
0.701	240
0.702	284
0.703	122
0.704	140
0.705	330
0.706	762
0.707	256
0.708	866
0.709	324
0.710	222
0.711	926
0.712	214
0.713	124
0.714	122
0.715	182
0.716	262
0.717	258
0.718	220
0.719	190
0.720	302
0.721	318
0.722	354
0.723	424
0.724	84
0.725	104
0.726	82
0.727	108
0.728	94
0.729	102
0.730	104
0.731	254
0.732	236
0.733	312
0.734	522
0.735	536
0.736	276
0.737	562
0.738	740
0.739	190
0.740	146
0.741	440
0.742	102
0.743	92
0.744	120
0.745	132
0.746	440
0.747	434
0.748	78
0.749	144
0.750	132
0.751	116
0.752	112
0.753	110
0.754	138
0.755	306
0.756	738
0.757	354
0.758	256
0.759	194
0.760	458
0.761	444
0.762	158
0.763	120
0.764	116
0.765	110
0.766	246
0.767	334
0.768	256
0.769	222
0.770	442
0.771	324
0.772	582
0.773	624
0.774	236
0.775	518
0.776	620
0.777	532
0.778	220
0.779	170
0.780	192
0.781	204
0.782	326
0.783	396
0.784	148
0.785	426
0.786	144
0.787	220
0.788	136
0.789	464
0.790	158
0.791	248
0.792	192
0.793	144
0.794	120
0.795	406
0.796	528
0.797	140
0.798	116
0.799	446
0.800	106
0.801	110
0.802	116
0.803	144
0.804	92
0.805	146
0.806	322
0.807	358
0.808	216
0.809	568
0.810	150
0.811	150
0.812	128
0.813	496
0.814	904
0.815	422
0.816	216
0.817	524
0.818	180
0.819	138
0.820	110
0.821	444
0.822	246
0.823	166
0.824	260
0.825	354
0.826	234
0.827	230
0.828	496
0.829	350
0.830	488
0.831	442
0.832	492
0.833	352
0.834	576
0.835	412
0.836	132
0.837	136
0.838	298
0.839	436
0.840	98
0.841	112
0.842	142
0.843	458
0.844	226
0.845	294
0.846	316
0.847	360
0.848	320
0.849	222
0.850	508
0.851	248
0.852	214
0.853	276
0.854	208
0.855	216
0.856	174
0.857	204
0.858	392
0.859	366
0.860	324
0.861	156
0.862	512
0.863	116
0.864	136
0.865	242
0.866	456
0.867	414
0.868	766
0.869	386
0.870	438
0.871	158
0.872	376
0.873	606
0.874	926
0.875	92
0.876	252
0.877	264
0.878	104
0.879	112
0.880	374
0.881	204
0.882	182
0.883	466
0.884	150
0.885	106
0.886	98
0.887	118
0.888	400
0.889	628
0.890	122
0.891	104
0.892	502
0.893	376
0.894	360
0.895	100
0.896	144
0.897	492
0.898	652
0.899	476
0.900	410
0.901	510
0.902	256
0.903	512
0.904	214
0.905	534
0.906	662
0.907	226
0.908	962
0.909	134
0.910	136
0.911	322
0.912	520
0.913	128
0.914	464
0.915	358
0.916	480
0.917	168
0.918	564
0.919	236
0.920	274
0.921	418
0.922	320
0.923	1024
0.924	952
0.925	532
0.926	772
0.927	1002
0.928	210
0.929	774
0.930	474
0.931	940
0.932	152
0.933	142
0.934	174
0.935	218
0.936	398
0.937	408
0.938	154
0.939	478
0.940	410
0.941	954
0.942	478
0.943	834
0.944	1210
0.945	642
0.946	612
0.947	546
0.948	808
0.949	572
0.950	1026
0.951	382
0.952	864
0.953	240
0.954	314
0.955	866
0.956	506
0.957	536
0.958	386
0.959	370
0.960	408
0.961	872
0.962	494
0.963	888
0.964	962
0.965	752
0.966	1118
0.967	1138
0.968	2020
0.969	918
0.970	1514
0.971	1668
0.972	1498
0.973	1114
0.974	1698
0.975	1620
0.976	2422
0.977	1338
0.978	1424
0.979	1974
0.980	972
0.981	892
0.982	752
0.983	1046
0.984	1274
0.985	1266
0.986	734
0.987	644
0.988	1140
0.989	944
0.990	666
0.991	622
0.992	746
0.993	700
0.994	400
0.995	444
0.996	1176
0.997	2134
0.998	2520
0.999	4026
1.000	64452
